Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
40.9,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
41.11,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
41.32,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
41.53,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
41.74,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
41.94,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
42.16,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
42.37,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
42.57,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
42.78,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
42.99,0.0010,52.17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
43.19,0.0010,52.18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
43.4,0.0010,52.18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
43.61,0.0010,52.18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
43.82,0.0010,52.18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
44.02,0.0010,52.18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
44.23,0.0010,52.18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
